2026-07-27T10:41:32 | dry_run_stage2 | INFO | Stage 2 Dry Run Complete!
2026-07-27T10:41:32 | master_dry_run | INFO | --- STAGE 3 ---
2026-07-27T10:41:32 | dry_run_stage3 | INFO | Monkeypatching Stage 3 config for dry run...
2026-07-27T10:41:32 | dry_run_stage3 | INFO | Starting Stage 3 Dry Run Training...
2026-07-27T10:41:36 | train_stage3 | INFO | Data integrity check PASSED (tokenizer MD5 + corpus row counts match manifest).
2026-07-27T10:41:37 | train_stage3 | INFO | Loading validation set (fixed masking, seq=128)...
2026-07-27T10:41:37 | train_stage3 | INFO | Fixed masked validation set: 50 sequences, 922 masked target tokens (mask seed 1234).
2026-07-27T10:41:37 | train_stage3 | INFO | Loading validation set (fixed masking, seq=128)...
2026-07-27T10:41:37 | train_stage3 | INFO | Fixed masked validation set: 50 sequences, 922 masked target tokens (mask seed 1234).
2026-07-27T10:41:37 | train_stage3 | INFO | Using device: cuda
2026-07-27T10:41:37 | train_stage3 | INFO | --- Starting training for HyperloopBERT_tiny_seed42_streams4 ---
2026-07-27T10:41:37 | train_stage3 | INFO | Model specs: {'Unique_Parameters': 14950459, 'Total_Parameters': 14950459, 'Effective_Depth': 12, 'Hidden_Size': 256, 'Shared_Ratio': 0.5}
2026-07-27T10:41:37 | train_stage3 | INFO | Active attention path: flash
2026-07-27T10:41:39 | train_stage3 | INFO | Step 5 | Tokens 0.0M | Val Loss: 9.7794 | PP: 17666.02
2026-07-27T10:41:39 | train_stage3 | INFO | Iso-loss band 10.0 crossed! (Prev: inf, Curr: 9.7794)
2026-07-27T10:41:39 | train_stage3 | INFO | Interpolated crossing step: 5
2026-07-27T10:41:39 | train_stage3 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/iso_band_models/HyperloopBERT_tiny_seed42_streams4/band_10p00
2026-07-27T10:41:40 | train_stage3 | INFO | Finished HyperloopBERT_tiny_seed42_streams4: 0.1M tokens, bands crossed: [10.0]
2026-07-27T10:41:40 | train_stage3 | INFO | --- Sequence-length adaptation tail for HyperloopBERT_tiny_seed42_streams4_seq256 (0M @ seq=128) ---
2026-07-27T10:41:40 | train_stage3 | INFO | Active attention path: flash
2026-07-27T10:41:41 | train_stage3 | INFO | Finished HyperloopBERT_tiny_seed42_streams4_seq256: 0.0M tokens, bands crossed: []
2026-07-27T10:41:41 | train_stage3 | INFO | --- Starting training for EarlyMergeHyperloopBERT_tiny_seed42_streams4 ---
2026-07-27T10:41:41 | train_stage3 | INFO | Model specs: {'Unique_Parameters': 14950459, 'Total_Parameters': 14950459, 'Effective_Depth': 12, 'Hidden_Size': 256, 'Shared_Ratio': 0.5}
2026-07-27T10:41:41 | train_stage3 | INFO | Active attention path: flash
2026-07-27T10:41:43 | train_stage3 | INFO | Step 5 | Tokens 0.0M | Val Loss: 9.7856 | PP: 17775.26
2026-07-27T10:41:43 | train_stage3 | INFO | Iso-loss band 10.0 crossed! (Prev: inf, Curr: 9.7856)
2026-07-27T10:41:43 | train_stage3 | INFO | Interpolated crossing step: 5
2026-07-27T10:41:43 | train_stage3 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/iso_band_models/EarlyMergeHyperloopBERT_tiny_seed42_streams4/band_10p00
2026-07-27T10:41:43 | train_stage3 | INFO | Finished EarlyMergeHyperloopBERT_tiny_seed42_streams4: 0.1M tokens, bands crossed: [10.0]
2026-07-27T10:41:43 | train_stage3 | INFO | --- Sequence-length adaptation tail for EarlyMergeHyperloopBERT_tiny_seed42_streams4_seq256 (0M @ seq=128) ---
2026-07-27T10:41:43 | train_stage3 | INFO | Active attention path: flash
2026-07-27T10:41:44 | train_stage3 | INFO | Finished EarlyMergeHyperloopBERT_tiny_seed42_streams4_seq256: 0.0M tokens, bands crossed: []
2026-07-27T10:41:44 | train_stage3 | INFO | --- Starting training for HyperloopBERT_base_seed42_streams2 ---
2026-07-27T10:41:46 | train_stage3 | INFO | Model specs: {'Unique_Parameters': 77027899, 'Total_Parameters': 77027899, 'Effective_Depth': 12, 'Hidden_Size': 768, 'Shared_Ratio': 0.5}
2026-07-27T10:41:46 | train_stage3 | INFO | Active attention path: flash
2026-07-27T10:41:46 | train_stage3 | INFO | Gradient checkpointing ENABLED for this run.
2026-07-27T10:41:49 | train_stage3 | INFO | Step 5 | Tokens 0.0M | Val Loss: 8.8931 | PP: 7281.30
2026-07-27T10:41:49 | train_stage3 | INFO | Iso-loss band 10.0 crossed! (Prev: inf, Curr: 8.8931)
2026-07-27T10:41:49 | train_stage3 | INFO | Interpolated crossing step: 5
2026-07-27T10:41:49 | train_stage3 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/iso_band_models/HyperloopBERT_base_seed42_streams2/band_10p00
2026-07-27T10:41:50 | train_stage3 | INFO | Iso-loss band 9.0 crossed! (Prev: inf, Curr: 8.8931)
2026-07-27T10:41:50 | train_stage3 | INFO | Interpolated crossing step: 5
2026-07-27T10:41:50 | train_stage3 | INFO | Saving snapshot to: /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/iso_band_models/HyperloopBERT_base_seed42_streams2/band_9p00
2026-07-27T10:41:51 | train_stage3 | INFO | Finished HyperloopBERT_base_seed42_streams2: 0.1M tokens, bands crossed: [10.0, 9.0]
2026-07-27T10:41:51 | dry_run_stage3 | INFO | Starting Stage 3 Dry Run Eval Bias...
2026-07-27T10:41:51 | eval_bias_stage3 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/iso_band_models/EarlyMergeHyperloopBERT_tiny_seed42_streams4/band_10p00 - failed quality screen (PP=17775.2616470904)
2026-07-27T10:41:51 | eval_bias_stage3 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/iso_band_models/HyperloopBERT_base_seed42_streams2/band_9p00 - failed quality screen (PP=7281.297023520537)
2026-07-27T10:41:51 | eval_bias_stage3 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/iso_band_models/HyperloopBERT_base_seed42_streams2/band_10p00 - failed quality screen (PP=7281.297023520537)
2026-07-27T10:41:51 | eval_bias_stage3 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/iso_band_models/HyperloopBERT_tiny_seed42_streams4/band_10p00 - failed quality screen (PP=17666.02453496249)
2026-07-27T10:41:51 | eval_bias_stage3 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/token_marker_models/EarlyMergeHyperloopBERT_tiny_seed42_streams4/tokens_25000 - failed quality screen (PP=18601.26339253748)
2026-07-27T10:41:51 | eval_bias_stage3 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/token_marker_models/HyperloopBERT_base_seed42_streams2/tokens_25000 - failed quality screen (PP=8183.209953611561)
2026-07-27T10:41:51 | eval_bias_stage3 | INFO | Skipping /home/Debz/HyperloopBert/Codes/models/dry_run/stage3/token_marker_models/HyperloopBERT_tiny_seed42_streams4/tokens_25000 - failed quality screen (PP=18430.525700518032)
2026-07-27T10:41:51 | dry_run_stage3 | INFO | Starting Stage 3 Dry Run Eval GLUE...
2026-07-27T10:41:51 | dry_run_stage3 | INFO | Starting Stage 3 Dry Run Stream Analysis...
2026-07-27T10:41:51 | stream_analysis_stage3 | INFO | Mechanistic suite on HyperloopBERT seed 42 (band 10.0)...
2026-07-27T10:41:51 | stream_analysis_stage3 | INFO | Computing hyper-connection matrix statistics...
2026-07-27T10:41:52 | stream_analysis_stage3 | INFO | Hyper-connection stats: 32 rows; max spectral norm 1.366 (report vs the MHC instability criterion in the paper).
2026-07-27T10:41:52 | stream_analysis_stage3 | INFO | Analyzing stream disagreement (per loop)...
2026-07-27T10:41:57 | stream_analysis_stage3 | INFO | Loop 0: disagreement=-0.0000, signed r=0.230 (p=0.0214) [CORRELATIONAL]
2026-07-27T10:41:57 | stream_analysis_stage3 | INFO | Loop 1: disagreement=0.0126, signed r=-0.070 (p=0.4879) [CORRELATIONAL]
2026-07-27T10:41:57 | stream_analysis_stage3 | INFO | Loop 2: disagreement=0.0147, signed r=-0.104 (p=0.3017) [CORRELATIONAL]
2026-07-27T10:41:57 | stream_analysis_stage3 | INFO | Loop 3: disagreement=0.0138, signed r=-0.110 (p=0.2772) [CORRELATIONAL]
2026-07-27T10:41:57 | stream_analysis_stage3 | INFO | Loop 4: disagreement=0.0118, signed r=-0.064 (p=0.5252) [CORRELATIONAL]
2026-07-27T10:41:57 | stream_analysis_stage3 | INFO | Early-merge intervention: merge_at=1 (OOD, eval-time)...
