Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Dataset,Category,Loop_Depth,Mean_Preference_Rate,Std_Preference_Rate,Mean_Effect_Size,Trajectory_Shape,Timestamp
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,2,7,0.5,0.5067117097095317,0.04153176421736105,OSCILLATING,2026-07-27T10:41:19.074708Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,3,7,0.2857142857142857,0.48795003647426666,-0.10960444625543099,CONVERGENT,2026-07-27T10:41:19.074926Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,4,7,0.2916666666666667,0.4643056214875365,-0.2323967205153572,CONVERGENT,2026-07-27T10:41:19.075131Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,5,7,0.75,0.45226701686664544,0.25073895117249156,OSCILLATING,2026-07-27T10:41:19.075345Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,6,7,0.5,0.5477225575051661,-0.02601350148518892,OSCILLATING,2026-07-27T10:41:19.075579Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,7,7,0.5,0.5188745216627708,-0.006732846262460893,OSCILLATING,2026-07-27T10:41:19.075799Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,8,7,0.4444444444444444,0.5270462766947299,0.01721095155786598,OSCILLATING,2026-07-27T10:41:19.076003Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,ALL,8,0.5555555555555556,0.49816357622227153,0.012432920516305374,OSCILLATING,2026-07-27T10:41:19.076770Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,0,8,0.6716417910447762,0.4731602234073838,0.016386500779291085,OSCILLATING,2026-07-27T10:41:19.077465Z
stage2,ALBERTLoopedBERT,tiny,256,42,8901178,8901178,12,0.9166666666666666,Multi-CrowS-Pairs,1,8,0.7619047619047619,0.4364357804719847,0.1879759099748399,OSCILLATING,2026-07-27T10:41:19.077698Z
