Stage,Architecture,Model_Size,Hidden_Size,Seed,Unique_Parameters,Total_Parameters,Effective_Depth,Shared_Ratio,Band,Token_Marker,Validation_Loss,Stream_Count,Merge_At,Overall_Stereotype_Preference_Rate,Macro_Average_Preference_Rate,Mean_Effect_Size,Bootstrap_CI_Low,Bootstrap_CI_High,PLL_SS_PLL_Agreement,Scored_Row_Count,Failed_Row_Count,Tied_Pair_Count,Timestamp
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,5.0,,4.037003418332518,4,,0.5563660477453581,0.551451190894434,0.012353270710570883,-0.007219922719468992,0.030929196806761386,0.6966666666666667,1508,0,0,2026-07-29T01:27:40.054922Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,4.0,,3.7005346013211655,4,,0.5603448275862069,0.5927522855992193,0.0281648543131935,0.006956300628464515,0.04949433167536081,0.7073333333333334,1508,0,0,2026-07-29T01:29:06.642184Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3.4,,3.1084518075344563,4,,0.5683023872679045,0.5901647639703751,0.04270916044529086,0.019572903337228983,0.06541608713385699,0.68,1508,0,0,2026-07-29T01:30:32.660904Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,3.0,,2.9707007868130595,4,,0.5696286472148541,0.5886860652298451,0.046992779817286084,0.023694916635188218,0.06993903224975162,0.7006666666666667,1508,0,0,2026-07-29T01:32:02.665573Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.7,,2.658794095172127,4,,0.5570291777188329,0.5854404305166387,0.048800974179107136,0.02461030714127005,0.07338020290917414,0.6806666666666666,1508,0,0,2026-07-29T01:33:29.255824Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.4,,2.383310746882712,4,,0.536472148541114,0.5830635137404339,0.04461013843150762,0.021057944645066863,0.06917324776628533,0.6873333333333334,1508,0,0,2026-07-29T01:34:56.898122Z
stage3,HyperloopBERT,base,768,42,86471227,86471227,12,0.5,2.2,,2.19633932426261,4,,0.5570291777188329,0.595971118683665,0.0466059292089557,0.022427840443609758,0.0716204658551938,0.7086666666666667,1508,0,0,2026-07-29T01:36:25.865325Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,2000000000,2.216206860694544,,,0.5576923076923077,0.5955225660015527,0.06590612898943086,0.04127196372449474,0.09259336973820544,0.7086666666666667,1508,0,0,2026-07-29T01:37:35.930229Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,4000000000,1.719926180135143,,,0.5629973474801061,0.5978448090566212,0.0752085761847256,0.05024321163625917,0.10286108422721457,0.7086666666666667,1508,0,0,2026-07-29T01:38:48.275319Z
stage3,VanillaBERT,base,768,42,110104890,110104890,12,0.0,,7000000000,1.480025543726064,,,0.583554376657825,0.6171527948532862,0.08388112445648616,0.060406551353237525,0.10927560629827056,0.7013333333333334,1508,0,0,2026-07-29T01:40:01.865087Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,2000000000,2.2336519029405384,,,0.5729442970822282,0.5904690310537049,0.0641344499040648,0.03861207680354509,0.08989807624858721,0.692,1508,0,0,2026-07-29T01:41:18.116664Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,4000000000,1.7373464439005586,,,0.5557029177718833,0.5774849045283232,0.06652872426585109,0.041864501101721796,0.0928095928269479,0.6906666666666667,1508,0,0,2026-07-29T01:42:31.391065Z
stage3,LoopedBERT,base,768,42,67580730,67580730,12,0.5,,7000000000,1.5158291803313702,,,0.5696286472148541,0.6008775662636234,0.07398924536509009,0.049297293240670115,0.10045330590047018,0.702,1508,0,0,2026-07-29T01:43:44.144377Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,2000000000,2.136395271466914,,,0.5450928381962865,0.5861646905503355,0.05515946067037799,0.030125839946636604,0.08023478426802304,0.6986666666666667,1508,0,0,2026-07-29T01:45:01.838924Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,4000000000,1.8855349469661915,,,0.5663129973474801,0.6073126739492044,0.06045226450522395,0.03587433114829758,0.08573231535128793,0.704,1508,0,0,2026-07-29T01:46:19.879096Z
stage3,ALBERTLoopedBERT,base,768,42,32147514,32147514,12,0.9166666666666666,,7000000000,1.7147954191335366,,,0.5649867374005305,0.6029739476171401,0.06363308486765584,0.03978856353865758,0.08972578619215507,0.704,1508,0,0,2026-07-29T01:47:39.520098Z
